institution_id,institution_name,country,region,institution_type,institution_size,funding_type,survey_quarter,year,primary_discipline_focus,policy_stance,ai_adoption_rate,policy_maturity_score,faculty_training_hours,student_ai_literacy_index,integrity_incident_rate,learning_outcome_delta,ai_tool_diversity,infrastructure_readiness,research_output_ai_pct,student_satisfaction_score,annual_it_budget_usd,faculty_count,adoption_tier,readiness_category,training_investment_per_faculty,risk_adjusted_adoption
INST_00001,Metro Bridgeport College [KUW-0001],Kuwait,Middle East,Community College,Medium (5K-15K),Public,2023-Q4,2023,Business,Integrated,29.58,3.67,24.1,68.8,9.82,14.75,5,7.35,1.57,4.64,2137056,214,Medium (20-45%),Advanced,499.31,21.71
INST_00002,Thornbury Technical Center [BEL-0002],Belgium,Europe,Community College,Large (15K-30K),Private,2024-Q3,2024,STEM,Permissive,43.66,4.14,23.7,69.1,39.42,11.73,7,8.26,3.76,3.49,4192682,578,Medium (20-45%),Advanced,362.69,36.15
INST_00003,University of Harborview [KUW-0003],Kuwait,Middle East,Teaching University,Large (15K-30K),Private,2024-Q2,2024,Social Sciences,Cautious,47.57,3.87,35.5,71.3,10.34,10.15,6,7.77,14.53,4.19,9974463,1192,High (>45%),Advanced,418.39,36.82
INST_00004,Fairview Polytechnic [THA-0004],Thailand,Asia Pacific,Technical Institute,Large (15K-30K),Private,2023-Q1,2023,STEM,Cautious,24.32,2.98,25.0,64.2,19.64,8.57,4,7.38,3.46,3.56,6824881,950,Medium (20-45%),Advanced,359.2,14.49
INST_00005,Crestmont University of Technology [ISR-0005],Israel,Middle East,Research University,Medium (5K-15K),Private,2023-Q2,2023,STEM,Cautious,32.24,3.27,33.2,77.5,6.34,6.82,3,7.46,10.43,3.86,14268213,208,Medium (20-45%),Advanced,3429.86,21.08
INST_00006,Applied Bridgeport Polytechnic [KEN-0006],Kenya,Africa,Technical Institute,Large (15K-30K),Public,2024-Q2,2024,Multidisciplinary,Restrictive,30.74,2.92,22.1,56.6,15.3,-0.05,6,3.97,15.77,3.17,2489041,657,Medium (20-45%),Underprepared,189.42,17.95
INST_00007,Northern Thornbury State University [NEW-0007],New Zealand,Asia Pacific,Teaching University,Medium (5K-15K),Public,2023-Q1,2023,Humanities,Restrictive,13.02,2.51,21.1,49.4,6.71,6.31,3,6.17,1.87,4.15,2188316,391,Low (0-20%),Developing,279.84,6.54
INST_00008,University of Southport [VIE-0008],Vietnam,Asia Pacific,Teaching University,Medium (5K-15K),Private,2024-Q3,2024,Business,Restrictive,32.15,3.29,29.9,80.9,20.97,6.11,7,7.4,10.59,2.87,2919046,319,Medium (20-45%),Advanced,457.53,21.15
INST_00009,Stonegate Institute of Technology [CHI-0009],China,Asia Pacific,Technical Institute,Medium (5K-15K),Mixed,2024-Q3,2024,STEM,Cautious,56.87,3.8,36.1,98.0,27.46,10.54,8,7.03,35.15,3.81,3909043,262,High (>45%),Advanced,746.0,43.22
INST_00010,State Hillcrest University [IND-0010],Indonesia,Asia Pacific,Research University,Very Large (>30K),Public,2023-Q1,2023,STEM,Cautious,34.86,2.81,29.1,70.2,17.4,7.32,4,6.68,9.6,3.58,36816912,7086,Medium (20-45%),Developing,259.79,19.59
INST_00011,Bridgeport Liberal College [ECU-0011],Ecuador,Latin America,Liberal Arts College,Medium (5K-15K),Public,2023-Q1,2023,Business,Restrictive,8.44,2.32,19.0,55.9,14.89,1.59,1,4.51,0.57,2.95,1285925,538,Low (0-20%),Developing,119.51,3.92
INST_00012,Hillcrest Academic University [GER-0012],Germany,Europe,Teaching University,Very Large (>30K),Public,2023-Q2,2023,Humanities,Permissive,36.46,3.18,22.8,56.0,23.38,4.36,4,7.55,4.27,3.72,11153924,7061,Medium (20-45%),Advanced,78.98,23.19
INST_00013,Eastfield Tech [SWE-0013],Sweden,Europe,Technical Institute,Large (15K-30K),Public,2023-Q2,2023,Social Sciences,Restrictive,22.91,2.92,36.2,79.1,6.35,4.19,3,8.59,4.91,3.56,7730435,1313,Medium (20-45%),Advanced,294.38,13.38
INST_00014,Lakewood Teaching Academic University [COL-0014],Colombia,Latin America,Teaching University,Medium (5K-15K),Public,2024-Q2,2024,STEM,Integrated,45.37,4.46,24.8,61.6,15.57,17.7,7,7.01,9.09,4.32,1930159,498,High (>45%),Advanced,193.79,40.47
INST_00015,Mount Pinehurst Liberal Arts College [TUR-0015],Turkey,Middle East,Liberal Arts College,Medium (5K-15K),Public,2024-Q3,2024,Humanities,Permissive,75.35,3.09,33.0,82.1,36.02,16.17,6,5.74,23.7,3.65,3315505,242,High (>45%),Developing,685.02,46.57
INST_00016,Community Silverton Technical Center [FIN-0016],Finland,Europe,Community College,Large (15K-30K),Public,2024-Q3,2024,Business,Permissive,43.81,3.59,22.8,81.5,21.07,15.8,6,8.58,5.82,4.23,3300936,714,Medium (20-45%),Advanced,231.16,31.46
INST_00017,Community Springdale Technical Center [GHA-0017],Ghana,Africa,Community College,Medium (5K-15K),Public,2023-Q2,2023,Business,Permissive,11.16,2.0,7.8,43.9,46.74,-11.38,2,4.33,0.47,2.77,415324,353,Low (0-20%),Developing,58.83,4.46
INST_00018,University of Southport [MOR-0018],Morocco,Africa,Research University,Medium (5K-15K),Public,2023-Q4,2023,Business,Cautious,33.69,3.03,26.6,59.1,15.82,6.81,5,5.05,27.59,2.84,2616460,409,Medium (20-45%),Developing,319.86,20.42
INST_00019,Applied Greendale Technical University [HON-0019],Hong Kong,Asia Pacific,Technical Institute,Medium (5K-15K),Public,2024-Q4,2024,Health Sciences,Integrated,82.0,5.0,72.5,98.0,8.62,33.31,6,8.06,38.75,4.22,3493560,190,High (>45%),Advanced,919.36,82.0
INST_00020,Innovation Westbrook Institute of Technology [KEN-0020],Kenya,Africa,Technical Institute,Small (<5K),Mixed,2023-Q1,2023,Business,Cautious,10.98,2.66,15.7,41.6,17.25,4.91,2,4.26,1.58,3.2,834324,163,Low (0-20%),Developing,255.93,5.84
